㓦劃	bo4 hua4
上下班時間	shang4 xia4 ban1 shi2 jian1
上下相安	shang4 xia4 xiang1 an1
上不了台面	shang4 bu4 liao3 tai2 mian4
上不了臺面	shang4 bu4 liao3 tai2 mian4
上不得台盤	shang4 bu4 de2 tai2 pan2
上不得臺盤	shang4 bu4 de2 tai2 pan2
上乘	shang4 sheng4
上了歲數	shang4 le5 sui4 shu5
上來	shang4 lai5
上供	shang4 gong4
上傳	shang4 chuan2
上僂	shang4 lou2
上分	shang4 fen5
上剎	shang4 cha4
上勁	shang4 jin4
上半部分	shang4 ban4 bu4 fen4
上去	shang4 qu5
上司	shang4 si1
上司	shang4 si5
上同調	shang4 tong2 diao4
上吐下瀉	shang4 tu4 xia4 xie4
上和下睦	shang4 he2 xia4 mu4
上圈套	shang4 quan1 tao4
上場白	shang4 chang3 bai2
上大動脈	shang4 da4 dong4 mai4
上天入地	shang4 tian1 ru4 di4
上天有好生之德	shang4 tian1 you3 hao4 sheng1 zhi1 de2
上夸克	shang4 kua1 ke4
上宿	shang4 su4
上將	shang4 jiang4
上將軍	shang4 jiang4 jun1
上帝教	shang4 di4 jiao4
上年紀	shang4 nian2 ji5
上座部佛教	shang4 zuo4 bu4 fo2 jiao4
上廳行首	shang4 ting1 hang2 shou3
上操	shang4 cao1
上朝	shang4 chao2
上朝取應	shang4 chao2 qu3 ying4
上校	shang4 xiao4
上梁不正下梁歪	shang4 liang2 bu2 zheng4 xia4 liang2 wai1
上浣	shang4 huan3
上海文廣新聞傳媒集團	shang4 hai3 wen2 guang3 xin1 wen2 chuan2 mei2 ji2 tuan2
上海浦東發展銀行	shang4 hai3 pu3 dong1 fa1 zhan3 yin2 hang2
上海證卷交易所	shang4 hai3 zheng4 juan4 jiao1 yi4 suo3
上海音樂學院	shang4 hai3 yin1 yue4 xue2 yuan4
上海體育場	shang4 hai3 ti3 yu4 chang3
上漲	shang4 zhang3
上漿	shang4 jiang1
上無片瓦遮身	shang4 wu2 pian4 wa3 zhe1 shen1
上片	shang4 pian4
上班時間	shang4 ban1 shi2 jian1
上當	shang4 dang4
上疏	shang4 shu4
上相	shang4 xiang4
上著	shang4 zhao1
上著	shang4 zhe5
上知	shang4 zhi4
上空	shang4 kong1
上空洗車	shang4 kong1 xi3 che1
上窮碧落下黃泉	shang4 qiong2 bi4 luo4 xia4 huang2 quan2
上聲	shang3 sheng1
上色	shang4 se4
上色	shang4 shai3
上落	shang4 luo4
上蓋	shang4 gai4
上行下效	shang4 xing2 xia4 xiao4
上行星	shang4 xing2 xing1
上調	shang4 tiao2
上證綜合指數	shang4 zheng4 zong1 he2 zhi3 shu4
上載	shang4 zai4
上輩子	shang4 bei4 zi5
上邊	shang4 bian5
上邊兒	shang4 bian5 er5
上都	shang4 du1
上鉤兒	shang4 gou1 er5
上門的買賣好做	shang4 men2 de5 mai3 mai5 hao3 zuo4
上面	shang4 mian5
上頭	shang4 tou2
上頭	shang4 tou5
上頭鋪臉	shang4 tou2 pu1 lian3
上館子	shang4 guan3 zi5
上饒地區	shang4 rao2 di4 qu1
上黨梆子	shang4 dang3 bang1 zi5
下一個	xia4 yi2 ge5
下不了台	xia4 bu4 liao3 tai2
下不了臺	xia4 bu4 liao3 tai2
下不為例	xia4 bu4 wei2 li4
下乘	xia4 sheng4
下作	xia4 zuo5
下作黃子	xia4 zuo5 huang2 zi5
下來	xia4 lai2
下來	xia4 lai5
下劃線	xia4 hua4 xian4
下功夫	xia4 gong1 fu5
下勁	xia4 jin4
下半輩子	xia4 ban4 bei4 zi5
下去	xia4 qu5
下咽	xia4 yan4
下地	xia4 di4
下地獄	xia4 di4 yu4
下場	xia4 chang2
下場	xia4 chang3
下場	xia4 chang5
下場白	xia4 chang2 bai2
下場頭	xia4 chang5 tou2
下大夫	xia4 dai4 fu1
下夸克	xia4 kua1 ke4
下子	xia4 zi3
下子	xia4 zi5
下工夫	xia4 gong1 fu5
下巴	xia4 ba5
下巴頦	xia4 ba5 ke1
下帖子	xia4 tie3 zi5
下得	xia4 de5
下得去	xia4 de5 qu4
下意識	xia4 yi4 shi4
下操	xia4 cao1
下旋	xia4 xuan2
下旋削球	xia4 xuan2 xiao1 qiu2
下梆子	xia4 bang1 zi5
下檻	xia4 kan3
下死勁	xia4 si3 jin4
下水	xia4 shui3
下水	xia4 shui5
下浣	xia4 huan3
下溜頭	xia4 liu1 tou5
下澣	xia4 huan3
下無立錐之地	xia4 wu2 li4 zhui1 zhi1 di4
下片	xia4 pian4
下眼相看	xia4 yan3 xiang1 kan4
下知地理	xia4 zhi1 di4 li3
下種	xia4 zhong3
下肚	xia4 du4
下自成行	xia4 zi4 cheng2 hang2
下落	xia4 luo4
下落不明	xia4 luo4 bu4 ming2
下處	xia4 chu5
下行	xia4 xing2
下行文	xia4 xing2 wen2
下行星	xia4 xing2 xing1
#下調	xia4 diao2
下調	xia4 diao4
下調	xia4 tiao2
下跌	xia4 die2
下載	xia4 zai3
下輩子	xia4 bei4 zi5
下邊	xia4 bian1
下邊	xia4 bian5
下邊兒	xia4 bian5 er5
下都	xia4 du1
下降	xia4 jiang4
下面	xia4 mian4
下面	xia4 mian5
下面請看	xia4 mian4 qing3 kan4
下頦	xia4 hai2
下頭	xia4 tou2
下頭	xia4 tou5
下頭人	xia4 tou5 ren2
不一會	bu4 yi2 hui4
不上不落	bu2 shang4 bu2 luo4
不中	bu2 zhong4
不中	bu4 zhong1
不中使	bu2 zhong4 shi3
不中意	bu2 zhong4 yi4
不中抬舉	bu2 zhong4 tai2 ju3
不中擡舉	bu2 zhong4 tai2 ju3
不中用	bu2 zhong4 yong4
不中相與	bu2 zhong4 xiang1 yu3
不中聽	bu2 zhong4 ting1
不乾不淨	bu4 gan1 bu2 jing4
不乾性油	bu4 gan1 xing4 you2
不乾淨	bu4 gan1 jing4
不了	bu4 liao3
不了之局	bu4 liao3 zhi1 ju2
不了了之	bu4 liao3 liao3 zhi1
不了了當	bu4 liao3 liao3 dang4
不了情	bu4 liao3 qing2
不了漢	bu4 liao3 han4
不了解	bu4 liao3 jie3
不予	bu4 yu2
不二價	bu2 er4 jia4
不亞於	bu2 ya4 yu2
不亞於	bu4 ya3 yu2
不亦樂乎	bu2 yi4 le4 hu1
不什	bu4 she2
不付得	bu2 fu4 de2
不付能勾	bu2 fu4 neng2 gou1
不以為	bu4 yi3 wei2
不以為奇	bu4 yi3 wei2 qi2
不以為忤	bu4 yi3 wei2 wu3
不以為意	bu4 yi3 wei2 yi4
不以為然	bu4 yi3 wei2 ran2
不以為苦	bu4 yi3 wei2 ku3
不以規矩	bu4 yi3 gui1 ju5
不伏燒埋	bu4 fu2 shao1 mai2
不作數	bu2 zuo4 shu4
不作為	bu2 zuo4 wei2
不作為犯	bu2 zuo4 wei2 fan4
不作為違警	bu2 zuo4 wei2 wei2 jing3
不作興	bu2 zuo4 xing1
不供	bu2 gong4
不便	bu2 bian4
不便宜	bu2 bian4 yi2
不便宜	bu4 pian2 yi5
不便處	bu2 bian4 chu4
不便道	bu2 bian4 dao4
不修帷薄	bu4 xiu1 wei2 bo2
不倒	bu4 dao3
不倒口	bu4 dao3 kou3
不倒翁	bu4 dao3 weng1
不值一看	bu4 zhi2 yi2 kan4
不值天一劃	bu4 zhi2 tian1 yi2 hua4
不值得	bu4 zhi2 de5
不值當	bu4 zhi2 dang1
不假	bu4 jia3
不假以詞色	bu4 jia3 yi3 ci2 se4
不假外出	bu2 jia4 wai4 chu1
不假思索	bu4 jia3 si1 suo3
不假辭色	bu4 jia3 ci2 se4
不停當	bu4 ting2 dang4
不傳	bu4 chuan2
不傳之祕	bu4 chuan2 zhi1 mi4
不傷和氣	bu4 shang1 he2 qi4
不儉則匱	bu4 jian3 ze2 kui4
不入獸穴	bu2 ru4 shou4 xue4
不入虎穴	bu2 ru4 hu3 xue4
不入調	bu2 ru4 diao4
不共天地	bu2 gong4 tian1 di4
不冠不帶	bu4 guan1 bu2 dai4
不出惡聲	bu4 chu1 e4 sheng1
不分不曉	bu4 fen1 bu4 xiao3
不分主客	bu4 fen1 zhu3 ke4
不分主從	bu4 fen1 zhu3 zong4
不分伯仲	bu4 fen1 bo2 zhong4
不分勝敗	bu4 fen1 sheng4 bai4
不分勝負	bu4 fen1 sheng4 fu4
不分南北東西	bu4 fen1 nan2 bei3 dong1 xi1
不分好歹	bu4 fen1 hao3 dai3
不分彼此	bu4 fen1 bi3 ci3
不分情由	bu4 fen1 qing2 you2
不分晝夜	bu4 fen1 zhou4 ye4
不分曉	bu4 fen1 xiao3
不分清紅皁白	bu4 fen1 qing1 hong2 zao4 bai2
不分畛域	bu4 fen1 zhen3 yu4
不分皁白	bu4 fen1 zao4 bai2
不分軒輊	bu4 fen1 xuan1 zhi4
不分青紅皁白	bu4 fen1 qing1 hong2 zao4 bai2
不分青紅皂白	bu4 fen1 qing1 hong2 zao4 bai2
不分高下	bu4 fen1 gao1 xia4
不切實際	bu2 qie4 shi2 ji4
不列顛哥倫比亞	bu2 lie4 dian1 ge1 lun2 bi3 ya3
不列顛哥倫比亞	bu2 lie4 dian1 ge1 lun2 bi3 ya4
不列顛哥倫比亞省	bu2 lie4 dian1 ge1 lun2 bi3 ya3 sheng3
不列顛哥倫比亞省	bu2 lie4 dian1 ge1 lun2 bi3 ya4 sheng3
不利落	bu2 li4 luo4
不到得	bu2 dao4 de5
不到長城非好漢	bu2 dao4 chang2 cheng2 fei1 hao3 han4
不剌	bu2 la4
不剌剌	bu2 la4 la4
不動聲色	bu2 dong4 sheng1 se4
不務正業	bu2 wu4 zheng4 ye4
不勝	bu2 sheng4
不勝	bu4 sheng1
不勝之態	bu4 sheng1 zhi1 tai4
不勝其擾	bu4 sheng1 qi2 rao3
不勝其煩	bu4 sheng1 qi2 fan2
不勝唏噓	bu4 sheng1 xi1 xu1
不勝感喟	bu4 sheng1 gan3 kui4
不勝春	bu4 sheng1 chun1
不勝枚舉	bu4 sheng1 mei2 ju3
不勝衣	bu4 sheng1 yi1
不勝負荷	bu4 sheng1 fu4 he4
不勝酒力	bu4 sheng1 jiu3 li4
不勾	bu2 gou4
不匱	bu2 kui4
不區分大小寫	bu4 qu1 fen1 da4 xiao3 xie3
不十分	bu4 shi2 fen1
不協調	bu4 xie2 tiao2
不受抬舉	bu2 shou4 tai2 ju5
不受擡舉	bu2 shou4 tai2 ju5
不受用	bu2 shou4 yong5
不受約束	bu2 shou4 yue1 shu4
不可企及	bu4 ke3 qi4 ji2
不可估量	bu4 ke3 gu1 liang4
不可分割	bu4 ke3 fen1 ge1
不可分離	bu4 ke3 fen1 li2
不可勝原	bu4 ke3 sheng1 yuan2
不可勝數	bu4 ke3 sheng1 shu3
不可勝數	bu4 ke3 sheng4 shu3
不可勝書	bu4 ke3 sheng1 shu1
不可勝紀	bu4 ke3 sheng1 ji4
不可勝言	bu4 ke3 sheng1 yan2
不可勝計	bu4 ke3 sheng1 ji4
不可勝記	bu4 ke3 sheng1 ji4
不可多得	bu4 ke3 duo1 de2
不可得	bu4 ke3 de2
不可捉摸	bu4 ke3 zhuo1 mo1
不可數	bu4 ke3 shu3
不可數名詞	bu4 ke3 shu3 ming2 ci2
不可數集	bu4 ke3 shuo4 ji2
不可期	bu4 ke3 qi2
不可為	bu4 ke3 wei2
不可當	bu4 ke3 dang1
不可磨滅	bu4 ke3 mo2 mie4
不可缺少	bu4 ke3 que1 shao3
不可與共樂	bu4 ke3 yu3 gong4 le4
不可言傳	bu4 ke3 yan2 chuan2
不可辱	bu4 ke3 ru4
不可逆反應	bu4 ke3 ni4 fan3 ying4
不可逆轉	bu4 ke3 ni4 zhuan3
不可限量	bu4 ke3 xian4 liang2
不名數	bu4 ming2 shu4
不吐不快	bu4 tu3 bu2 kuai4
不吐氣	bu4 tu3 qi4
不吝指教	bu2 lin4 zhi3 jiao4
不吝賜教	bu2 lin4 si4 jiao4
不含糊	bu4 han2 hu5
不吭氣	bu4 keng1 qi4
不和	bu2 han4
不和	bu4 he2
不唧𠺕	bu4 ji1 liu1
不問好歹	bu2 wen4 hao3 dai3
不因親	bu4 yin1 qin1
不圖打點	bu4 tu2 da3 dian5
不在乎	bu2 zai4 hu1
不在乎	bu2 zai4 hu5
不在了	bu2 zai4 le5
不在五行中	bu2 zai4 wu3 xing2 zhong1
不在人間	bu2 zai4 ren2 jian1
不在地主	bu2 zai4 di4 zhu3
不在場證明	bu2 zai4 chang2 zheng4 ming2
不在少數	bu2 zai4 shao3 shu4
不在行	bu2 zai4 hang2
不地著	bu2 di4 zhuo2
不堪一擊	bu4 kan1 yi4 ji1
不堪一擊	bu4 kan1 yi4 ji2
不堪負荷	bu4 kan1 fu4 he4
不塞不流	bu2 se4 bu4 liu2
不外露	bu2 wai4 lu4
不多不少	bu4 duo1 bu4 shao3
不多工夫	bu4 duo1 gong1 fu5
不多幾日	bu4 duo1 ji3 ri4
不大	bu2 da4
不大客氣	bu2 da4 ke4 qi5
不大離	bu2 da4 li2
不大離兒	bu2 da4 li2 er5
不太好	bu2 tai4 hao3
不太明白	bu2 tai4 ming2 bai5
不失為	bu4 shi1 wei2
不好	bu2 hao4
不好	bu4 hao3
不好弄	bu4 hao3 nong4
不好意思	bu4 hao3 yi4 si5
不好看	bu4 hao3 kan4
不好言笑	bu2 hao4 yan2 xiao4
不好說話	bu2 hao4 shuo1 hua4
不好說話	bu4 hao3 shuo1 hua4
不如一狐之腋	bu4 ru2 yi4 hu2 zhi1 ye4
不如一狐之腋	bu4 ru2 yi4 hu2 zhi1 yi4
不如得季布一諾	bu4 ru2 de2 ji4 bu4 yi2 nuo4
不如得季布諾	bu4 ru2 de2 ji4 bu4 nuo4
不如日進分文	bu4 ru2 ri4 jin4 fen1 wen2
不如薄藝隨身	bu4 ru2 bo2 yi4 sui2 shen1
不如退而結網	bu4 ru2 tui4 er2 jie2 wang3
不婚媽媽	bu4 hun1 ma1 ma5
不孕真菌	bu2 yun4 zhen1 jun4
不學亡術	bu4 xue2 wu2 shu4
不學長俊	bu4 xue2 zhang3 jun4
不守本分	bu4 shou3 ben3 fen4
不守細行	bu4 shou3 xi4 xing4
不安份	bu4 an1 fen5
不安分	bu4 an1 fen4
不安分	bu4 an1 fen5
不安本分	bu4 an1 ben3 fen4
不完全給付	bu4 wan2 quan2 ji3 fu4
不定冠詞	bu2 ding4 guan1 ci2
不定冠詞	bu2 ding4 guan4 ci2
不定積分	bu2 ding4 ji1 fen1
不定量	bu2 ding4 liang4
不客氣	bu2 ke4 qi4
不客氣	bu2 ke4 qi5
不容分說	bu4 rong2 fen1 shuo1
不寧	bu4 ning2
不寧不耐	bu4 ning2 bu2 nai4
不寧奈	bu4 ning2 nai4
不將	bu4 jiang1
不對勁	bu2 dui4 jin4
不對碴兒	bu2 dui4 cha2 er5
不對稱	bu2 dui4 chen4
不對頭	bu2 dui4 tou2
不少	bu4 shao3
不差	bu2 cha4
不差	bu4 cha1
不差不錯	bu4 cha1 bu2 cuo4
不差什麼	bu4 cha1 shen2 me5
不差毫釐	bu4 cha1 hao2 li2
不差毫髮	bu4 cha1 hao2 fa3
不差累黍	bu4 cha1 lei3 shu3
不干	bu4 gan1
不干己事不張口	bu4 gan1 ji3 shi4 bu4 zhang1 kou3
不干涉	bu4 gan1 she4
不干涉主義	bu4 gan1 she4 zhu3 yi4
不平等待遇	bu4 ping2 deng3 dai4 yu4
不幸的是	bu2 xing4 de5 shi4
不度	bu2 du4
不弟	bu2 ti4
不強	bu4 qiang2
不待	bu2 dai4
不待蓍龜	bu2 dai4 shi1 gui1
不待要	bu2 dai4 yao4
不待說	bu2 dai4 shuo1
不徇顏面	bu4 xun2 yan2 mian4
不得	bu4 de2
不得不	bu4 de2 bu4
不得不發	bu4 de2 bu4 fa1
不得不鋤	bu4 de2 bu4 chu2
不得主意	bu4 de2 zhu3 yi5
不得了	bu4 de2 liao3
不得人心	bu4 de2 ren2 xin1
不得便	bu4 de2 bian4
不得其死	bu4 de2 qi2 si3
不得其門而入	bu4 de2 qi2 men2 er2 ru4
不得勁	bu4 de2 jin4
不得善終	bu4 de2 shan4 zhong1
不得地	bu4 de2 di4
不得好死	bu4 de2 hao3 si3
不得安穩	bu4 de2 an1 wen3
不得安身	bu4 de2 an1 shen1
不得已	bu4 de2 yi3
不得志	bu4 de2 zhi4
不得意	bu4 de2 yi4
不得有誤	bu4 de2 you3 wu4
不得有違	bu4 de2 you3 wei2
不得空	bu4 de2 kong4
不得而知	bu4 de2 er2 zhi1
不得臉	bu4 de2 lian3
不得台盤	bu4 de2 tai2 pan2
不得臺盤	bu4 de2 tai2 pan2
不得虎子	bu4 de2 hu3 zi3
不得要領	bu4 de2 yao4 ling3
不得開交	bu4 de2 kai1 jiao1
不得閒	bu4 de2 xian2
不必要	bu2 bi4 yao4
不忒	bu2 te4
不忘溝壑	bu2 wang4 gou1 huo4
不念舊惡	bu2 nian4 jiu4 e4
不念荷戈	bu2 nian4 he4 ge1
不怕不識貨	bu2 pa4 bu2 shi4 huo4
不怕沒柴燒	bu2 pa4 mei2 chai2 shao1
不怕臊	bu2 pa4 sao4
不怯氣	bu2 que4 qi4
不恁麼	bu2 nen4 me5
不恁麼	bu2 ren4 me5
不息	bu4 xi2
不悶	bu2 men4
不惜	bu4 xi2
不惡而嚴	bu2 e4 er2 yan2
不憚強禦	bu2 dan4 qiang2 yu4
不成模樣	bu4 cheng2 mu2 yang4
不成樣子	bu4 cheng2 yang4 zi5
不成熟	bu4 cheng2 shu2
不成為君	bu4 cheng2 wei2 jun1
不戰不和	bu2 zhan4 bu4 he2
不打不成相與	bu4 da3 bu4 cheng2 xiang1 yu3
不打不成相識	bu4 da3 bu4 cheng2 xiang1 shi2
不打不成相識	bu4 da3 bu4 cheng2 xiang1 shi4
不打不相識	bu4 da3 bu4 xiang1 shi2
不打不相識	bu4 da3 bu4 xiang1 shi4
不打量	bu4 da3 liang5
不把人看在眼裡	bu4 ba3 ren2 kan4 zai4 yan3 li3
不把將軍為神道	bu4 ba3 jiang1 jun1 wei2 shen2 dao4
不折不扣	bu4 zhe2 bu2 kou4
不拘細行	bu4 ju1 xi4 xing4
不捨得	bu4 she3 de5
不探虎穴	bu2 tan4 hu3 xue4
不揣	bu4 chuai3
不揣冒昧	bu4 chuai3 mao4 mei4
不搭調	bu4 da1 diao4
不摸頭	bu4 mo1 tou2
不撞南牆不回頭	bu2 zhuang4 nan2 qiang2 bu4 hui2 tou2
不擊自走	bu4 ji2 zi4 zou3
不擴散核武器條約	bu2 kuo4 san4 he2 wu3 qi4 tiao2 yue1
不支倒地	bu4 zhi1 dao3 di4
不敗之地	bu2 bai4 zhi1 di4
不教而殺	bu2 jiao4 er2 sha1
不教而誅	bu2 jiao4 er2 zhu1
不敢吭聲	bu4 gan3 keng1 sheng1
不敢當	bu4 gan3 dang1
不敢相信	bu4 gan3 xiang1 xin4
不整脈	bu4 zheng3 mai4
不數	bu4 shu3
不數日	bu2 shu4 ri4
不料量	bu2 liao4 liang4
不方便	bu4 fang1 bian4
不旋踵	bu4 xuan2 zhong3
不明飛行物	bu4 ming2 fei1 xing2 wu4
不明飛行體	bu4 ming2 fei1 xing2 ti3
不易之論	bu2 yi4 zhi1 lun4
不是	bu2 shi4
不是	bu4 shi5
不是了處	bu2 shi4 liao3 chu4
不是味兒	bu2 shi4 wei4 er5
不是嗎	bu2 shi4 ma5
不是東西	bu2 shi4 dong1 xi5
不是湯著就抹著	bu2 shi4 tang1 zhao2 jiu4 mo3 zhao2
不是玩兒的	bu2 shi4 wan2 er5 de5
不是耍處	bu2 shi4 shua3 chu4
不是處	bu2 shi4 chu4
不時間	bu4 shi2 jian1
不曉得	bu4 xiao3 de5
不更事	bu4 jing1 shi4
不曾	bu4 ceng2
不會	bu2 hui4
不服燒埋	bu4 fu2 shao1 mai2
不朝	bu4 chao2
不期	bu4 qi2
不期然	bu4 qi2 ran2
不期然而然	bu4 qi2 ran2 er2 ran2
不期而會	bu4 qi2 er2 hui4
不期而然	bu4 qi2 er2 ran2
不期而遇	bu4 qi2 er2 yu4
不杖期夫	bu2 zhang4 ji1 fu1
不樂	bu2 le4
不樂觀	bu2 le4 guan1
不歡而散	bu4 huan1 er2 san4
不止不行	bu4 zhi3 bu4 xing2
不正之風	bu2 zheng4 zhi1 feng1
不正常	bu2 zheng4 chang2
不正常狀況	bu2 zheng4 chang2 zhuang4 kuang4
不正當	bu2 zheng4 dang1
不正當競爭	bu2 zheng4 dang1 jing4 zheng1
不正當關係	bu2 zheng4 dang1 guan1 xi4
不正確	bu2 zheng4 que4
不正經	bu2 zheng4 jing5
不殺	bu2 shai4
不毛之地	bu4 mao2 zhi1 di4
不氣干	bu2 qi4 gan1
不氣長	bu2 qi4 chang2
不求聞達	bu4 qiu2 wen4 da2
不求自得	bu4 qiu2 zi4 de2
不法行為	bu4 fa3 xing2 wei2
不消幾日	bu4 xiao1 ji3 ri4
不消得	bu4 xiao1 de2
不淑	bu4 shu2
不清楚	bu4 qing1 chu5
不漸	bu2 jian4
不熟	bu4 shu2
不爭得	bu4 zheng1 de5
不為五斗米折腰	bu2 wei4 wu3 dou3 mi3 zhe2 yao1
不為人下	bu4 wei2 ren2 xia4
不為人用	bu4 wei2 ren2 yong4
不為人知	bu4 wei2 ren2 zhi1
不為利誘	bu4 wei2 li4 you4
不為左右袒	bu2 wei4 zuo3 you4 tan3
不為已甚	bu4 wei2 yi3 shen4
不為所動	bu4 wei2 suo3 dong4
不為牛後	bu4 wei2 niu2 hou4
不為瓦全	bu4 wei2 wa3 quan2
不為禍先	bu4 wei2 huo4 xian1
不為福始	bu4 wei2 fu2 shi3
不為米折腰	bu2 wei4 mi3 zhe2 yao1
不為過	bu4 wei2 guo4
不為難	bu4 wei2 nan2
不犯著	bu2 fan4 zhao2
不甘寂寞	bu4 gan1 ji2 mo4
不甘雌伏	bu4 gan1 ci1 fu2
不甚了了	bu2 shen4 liao3 liao3
不用客氣	bu2 yong4 ke4 qi4
不用客氣	bu2 yong4 ke4 qi5
不用本錢的勾當	bu2 yong4 ben3 qian2 de5 gou4 dang5
不用看	bu2 yong4 kan4
不用著急	bu2 yong4 zhao1 ji2
不甫能勾	bu4 fu3 neng2 gou1
不由分說	bu4 you2 fen1 shuo1
不由得	bu4 you2 de5
不畏強暴	bu2 wei4 qiang2 bao4
不畏強權	bu2 wei4 qiang2 quan2
不畏強禦	bu2 wei4 qiang2 yu4
不畏彊禦	bu2 wei4 qiang2 yu4
不留餘地	bu4 liu2 yu2 di4
不當	bu2 dang4
不當	bu4 dang1
不當一回事	bu2 dang4 yi4 hui2 shi4
不當不對	bu4 dang1 bu2 dui4
不當不正	bu4 dang1 bu2 zheng4
不當事	bu4 dang1 shi4
不當人	bu4 dang1 ren2
不當人化化	bu4 dang1 ren2 hua1 hua1
不當人子	bu4 dang1 ren2 zi3
不當官	bu4 dang1 guan1
不當家	bu4 dang1 jia1
不當家化化	bu4 dang1 jia1 hua1 hua1
不當家花拉	bu4 dang1 jia1 hua1 la1
不當家花花	bu4 dang1 jia1 hua1 hua1
不當家豁拉	bu4 dang1 jia1 hua2 la1
不當得利	bu4 dang1 de2 li4
不當數	bu2 dang4 shu4
不當準	bu2 dang4 zhun3
不當穩便	bu2 dang4 wen3 bian4
不當緊	bu4 dang1 jin3
不當耍處	bu4 dang1 shua3 chu3
不當道	bu4 dang1 dao4
不疑誣金	bu4 yi2 wu2 jin1
不的	bu4 di2
不相	bu4 xiang1
不相上下	bu4 xiang1 shang4 xia4
不相來往	bu4 xiang1 lai2 wang3
不相同	bu4 xiang1 tong2
不相妨礙	bu4 xiang1 fang2 ai4
不相容	bu4 xiang1 rong2
不相容原理	bu4 xiang1 rong2 yuan2 li3
不相干	bu4 xiang1 gan1
不相往來	bu4 xiang1 wang3 lai2
不相投	bu4 xiang1 tou2
不相為謀	bu4 xiang1 wei2 mou2
不相登	bu4 xiang1 deng1
不相稱	bu4 xiang1 cheng4
不相符	bu4 xiang1 fu2
不相聞問	bu4 xiang1 wen2 wen4
不相能	bu4 xiang1 neng2
不相識	bu4 xiang1 shi4
不相關	bu4 xiang1 guan1
不省	bu4 xing3
不省事	bu4 xing3 shi4
不省人事	bu4 xing3 ren2 shi4
不省得	bu4 xing3 de5
不看僧面看佛面	bu2 kan4 seng1 mian4 kan4 fo2 mian4
不看金面看佛面	bu2 kan4 jin1 mian4 kan4 fo2 mian4
不看魚情看水情	bu2 kan4 yu2 qing2 kan4 shui3 qing2
不真切	bu4 zhen1 qie4
不著	bu4 zhao2
不著	bu4 zhuo2
不著一字	bu4 zhuo2 yi2 zi4
不著不落	bu4 zhuo2 bu2 luo4
不著人	bu4 zhuo2 ren2
不著家	bu4 zhuo2 jia1
不著家人	bu4 zhao2 jia1 ren2
不著忙	bu4 zhao2 mang2
不著急	bu4 zhao1 ji2
不著情	bu4 zhuo2 qing2
不著意	bu4 zhuo2 yi4
不著疼熱	bu4 zhuo2 teng2 re4
不著痕跡	bu4 zhuo2 hen2 ji1
不著痛癢	bu4 zhuo2 tong4 yang3
不著筋節	bu4 zhuo2 jin1 jie2
不著腳	bu4 zhuo2 jiao3
不著要	bu4 zhuo2 yao4
不著親	bu4 zhuo2 qin1
不著調	bu4 zhuo2 diao4
不著邊際	bu4 zhuo2 bian1 ji4
不著陸飛行	bu4 zhuo2 lu4 fei1 xing2
不矜細行	bu4 jin1 xi4 xing4
不知一個頭腦	bu4 zhi1 yi2 ge5 tou2 nao3
不知下落	bu4 zhi1 xia4 luo4
不知凡幾	bu4 zhi1 fan2 ji3
不知出於何種原因	bu4 zhi1 chu1 yu2 he2 zhong3 yuan2 yin1
不知分限	bu4 zhi1 fen4 xian4
不知天高地下	bu4 zhi1 tian1 gao1 di4 xia4
不知天高地厚	bu4 zhi1 tian1 gao1 di4 hou4
不知為不知	bu4 zhi1 wei2 bu4 zhi1
不知起倒	bu4 zhi1 qi3 dao3
不知輕重	bu4 zhi1 qing1 zhong4
不知顛倒	bu4 zhi1 dian1 dao3
不知香臭	bu4 zhi1 xiang1 chou4
不碎玻璃	bu2 sui4 bo1 li5
不禁	bu4 jin1
不禁技癢	bu4 jin1 ji4 yang3
不稱	bu2 cheng4
不稱	bu4 cheng1
不稱心	bu2 cheng4 xin1
不稱職	bu2 cheng4 zhi2
不穩便	bu4 wen3 bian4
不究	bu2 jiu4
不空	bu4 kong1
不空成就佛	bu4 kong1 cheng2 jiu4 fo2
不空成就如來	bu4 kong1 cheng2 jiu4 ru2 lai2
不立崖岸	bu2 li4 ya2 an4
不立崖岸	bu2 li4 yai2 an4
不答理	bu4 da1 li3
不答腔	bu4 da1 qiang1
不算什麼	bu2 suan4 shen2 me5
不算數	bu2 suan4 shu4
不管生癬生瘡	bu4 guan3 sheng1 xian3 sheng1 chuang1
不終朝	bu4 zhong1 zhao1
不結匯進口	bu4 jie2 hui4 jin4 kou3
不結實	bu4 jie1 shi5
不結果	bu4 jie2 guo3
不結盟	bu4 jie2 meng2
不結盟運動	bu4 jie2 meng2 yun4 dong4
不給	bu4 ji3
不經一番風霜苦	bu4 jing1 yi4 fan1 feng1 shuang1 ku3
不經事少年	bu4 jing1 shi4 shao4 nian2
不經意間	bu4 jing1 yi4 jian1
不繆	bu2 miu4
不繫舟	bu2 xi4 zhou1
不置可否	bu2 zhi4 ke3 fou3
不老長生	bu4 lao3 chang2 sheng1
不肖的東西	bu2 xiao4 de5 dong1 xi5
不肯干休	bu4 ken3 gan1 xiu1
不能勝數	bu4 neng2 sheng1 shu3
不能勾	bu4 neng2 gou1
不能增減一分	bu4 neng2 zeng1 jian3 yi4 fen1
不能為	bu4 neng2 wei2
不能盡數	bu4 neng2 jin4 shu3
不能自給	bu4 neng2 zi4 ji3
不臊	bu2 sao4
