㓦劃	bo4 hua4
三上五落	san1 shang4 wu3 luo4
三乘	san1 sheng4
三人行	san1 ren2 xing2
三人行必有我師	san1 ren2 xing2 bi4 you3 wo3 shi1
三仇	san1 chou2
三保太監	san1 bao3 tai4 jian4
三個和尚沒水喝	san1 ge4 he2 shang4 mei2 shui3 he1
三個女人一個墟	san1 ge4 nv3 ren2 yi2 ge4 xu1
三個女人一台戲	san1 ge5 nv3 ren2 yi4 tai2 xi4
三個女人一臺戲	san1 ge5 nv3 ren2 yi4 tai2 xi4
三個臭皮匠	san1 ge4 chou4 pi2 jiang5
三個臭皮匠	san1 ge5 chou4 pi2 jiang4
三個鼻子管	san1 ge5 bi2 zi5 guan3
三傳	san1 zhuan4
三冠王	san1 guan4 wang2
三分	san1 fen1
三分之一	san1 fen1 zhi1 yi1
三分之二	san1 fen1 zhi1 er4
三分像人	san1 fen1 xiang4 ren2
三分匠人	san1 fen1 jiang4 ren2
三分熟	san1 fen1 shu2
三分鐘熱度	san1 fen1 zhong1 re4 du4
三分鼎立	san1 fen1 ding3 li4
三分鼎足	san1 fen1 ding3 zu2
三十八度線	san1 shi2 ba1 du4 xian4
三十六個牙齒	san1 shi2 liu4 ge5 ya2 chi3
三十六著	san1 shi2 liu4 zhao1
三十六行	san1 shi2 liu4 hang2
三叉口	san1 cha1 kou3
三叉戟	san1 cha1 ji3
三叉神經	san1 cha1 shen2 jing1
三叉路	san1 cha1 lu4
三句不離本行	san1 ju4 bu4 li2 ben3 hang2
三和弦	san1 he2 xian2
三和絃	san1 he2 xian2
三和路	san1 he2 lu4
三回九曲	san1 hui2 jiu3 qu1
三回九轉	san1 hui2 jiu3 zhuan3
三回五轉	san1 hui2 wu3 zhuan3
三回兩轉	san1 hui2 liang3 zhuan3
三地門	san1 di4 men2
三地門鄉	san1 di4 men2 xiang1
三場	san1 chang2
三夷教	san1 yi2 jiao4
三夾板	san1 jia2 ban3
三娘教子	san1 niang2 jiao4 zi3
三小子	san1 xiao3 zi5
三差五錯	san1 cha1 wu3 cuo4
三差兩錯	san1 cha1 liang3 cuo4
三希堂法帖	san1 xi1 tang2 fa3 tie4
三年之喪	san1 nian2 zhi1 sang1
三年五載	san1 nian2 wu3 zai3
三度	san1 du4
三度空間	san1 du4 kong1 jian1
三得利	san1 de2 li4
三復	san1 fu4
三復	san4 fu4
三復斯言	san4 fu4 si1 yan2
三復白圭	san4 fu4 bai2 gui1
三徵七辟	san1 zheng1 qi1 bi4
三思	san1 si1
三思	san4 si1
三思而後行	san1 si1 er2 hou4 xing2
三思而行	san1 si1 er2 xing2
三思而行	san4 si1 er2 xing2
三思台	san4 si1 tai2
三思臺	san4 si1 tai2
三惡道	san1 e4 dao4
三戰三北	san1 zhan4 san1 bo4
三折肱	san1 zhe2 gong1
三折肱為良醫	san1 zhe2 gong1 wei2 liang2 yi1
三拳難敵四手	san1 quan2 nan2 di2 si4 shou3
三摩地	san1 mo2 di4
三擊掌	san1 ji2 zhang3
三教	san1 jiao4
三教九流	san1 jiao4 jiu3 liu2
三教論衡	san1 jiao4 lun4 heng2
三時教	san1 shi2 jiao4
三更	san1 geng1
三更半夜	san1 geng1 ban4 ye4
三更四鼓	san1 geng1 si4 gu3
三更燈火五更雞	san1 geng1 deng1 huo3 wu3 geng1 ji1
三朝五日	san1 zhao1 wu3 ri4
三朝元老	san1 chao2 yuan2 lao3
三杯和萬事	san1 bei1 he2 wan4 shi4
三稜鏡	san1 leng2 jing4
三棱鏡	san1 leng2 jing4
三稜體	san1 leng2 ti3
三棱體	san1 leng2 ti3
三樂	san1 le4
三樂	san1 yao4
三權分立	san1 quan2 fen1 li4
三次曲線	san1 ci4 qu1 xian4
三正	san1 zheng1
三正	san1 zheng4
三歲看老	san1 sui4 kan4 lao3
三江侗族自治縣	san1 jiang1 dong4 zu2 zi4 zhi4 xian4
三清道觀	san1 qing1 dao4 guan4
三災八難	san1 zai1 ba1 nan4
三百六十行	san1 bai3 liu4 shi2 hang2
三監	san1 jian1
三相	san1 xiang4
三省	san1 sheng3
三省	san1 xing3
三等分	san1 deng3 fen1
三等分角	san1 deng3 fen1 jiao3
三級片	san1 ji2 pian4
三維空間	san1 wei2 kong1 jian1
三聚氰胺塑膠	san1 ju4 qing1 an1 su4 jiao1
三腳蝦蟆沒處尋	san1 jiao3 ha2 ma5 mei2 chu4 xun2
三自愛國教會	san1 zi4 ai4 guo2 jiao4 hui4
三自教會	san1 zi4 jiao4 hui4
三落	san1 luo4
三藏	san1 zang4
三藏法師	san1 zang4 fa3 shi1
三藏法師傳	san1 zang4 fa3 shi1 zhuan4
三藩	san1 fan2
三藩之亂	san1 fan2 zhi1 luan4
三藩市	san1 fan2 shi4
三號木桿	san1 hao4 mu4 gan1
三行	san1 hang2
三行	san1 xing4
三親	san1 qin1
三親六故	san1 qin1 liu4 gu4
三親六眷	san1 qin1 liu4 juan4
三親四眷	san1 qin1 si4 juan4
三親等	san1 qin1 deng3
三角函數	san1 jiao3 han2 shu4
三角測量	san1 jiao3 ce4 liang2
三角測量法	san1 jiao3 ce4 liang2 fa3
三角褲衩	san1 jiao3 ku4 cha3
三軍易得	san1 jun1 yi4 de2
三轉身	san1 zhuan3 shen1
三辟	san1 pi4
三郎爺爺	san1 lang2 ye2 ye5
三部曲	san1 bu4 qu3
三都縣	san1 du1 xian4
